,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11,pv12,pv13,pv14,pv15,pv16,pv17,pv18,pv19,pv20,pv21,pv22,temp_pref_1,temp_pref_2,temp_pref_3,temp_pref_4,temp_pref_5,empty,clothes,night,away,shut,shw_time,heat_mot_1,heat_mot_2,heat_mot_3,heat_mot_4,bill_diff,nl_con_sup,nl_cap_sup,age,gender,income
participant_27,2,1,4,4,1,3,4,2,1,1,4,6,3,5,4,2,2,1,1,6,1,1,20,12,19,18,16,10,1,9,1,99,6,4,2,6,10,5,9,10,93,88,6
participant_28,5,1,2,5,4,5,1,6,2,4,5,2,6,6,2,3,2,6,6,5,3,6,18,25,21,13,17,2,5,9,0,8,2,7,4,3,3,7,8,1,43,3,3
participant_29,6,5,4,4,6,6,6,5,5,3,6,4,3,3,1,1,6,4,3,5,4,2,30,24,19,25,24,8,8,88,5,5,0,9,7,5,8,0,3,7,22,2,99
participant_30,2,6,5,6,6,5,6,4,3,4,2,3,5,3,1,2,1,1,6,5,1,6,30,30,13,30,11,2,99,0,9,3,88,0,10,9,3,6,5,7,63,2,6
participant_31,1,6,4,5,3,2,2,2,3,1,6,2,2,6,3,3,6,2,1,1,1,3,16,30,21,23,16,1,0,9,9,6,0,5,6,3,9,9,2,3,69,2,6
participant_32,4,2,5,1,2,2,2,6,5,3,3,2,4,5,5,6,5,1,4,4,5,5,29,15,11,29,11,2,5,4,2,2,8,5,9,8,1,6,2,4,82,2,4
participant_33,1,6,1,4,4,4,1,4,6,1,4,5,2,1,6,3,3,2,2,1,3,4,27,12,30,22,13,8,9,0,3,9,4,8,9,10,2,8,6,3,64,2,3
participant_34,1,6,6,3,5,1,5,1,1,2,4,2,3,2,6,1,5,1,4,5,5,6,11,16,16,12,21,1,6,5,5,9,0,4,0,6,2,4,2,2,77,2,7
participant_35,4,2,2,2,4,2,6,5,5,1,6,6,3,5,3,3,6,3,6,1,5,4,27,27,27,27,14,2,6,3,99,0,4,7,10,99,10,5,10,3,24,2,7
participant_36,6,2,2,6,1,1,4,6,3,5,3,5,5,2,6,2,3,6,3,3,2,3,30,23,23,29,18,9,3,5,88,5,9,3,0,4,6,1,2,10,33,1,88
participant_37,6,6,2,2,6,5,3,3,3,1,6,2,2,2,6,2,4,4,6,5,5,6,16,26,30,21,13,1,10,10,10,1,7,6,2,1,6,5,8,9,61,1,8
participant_38,1,3,5,1,5,2,1,2,2,2,5,4,6,2,6,6,4,5,4,4,4,1,23,16,27,28,14,88,0,5,1,3,0,1,4,99,9,6,7,8,43,3,7
participant_39,1,6,2,1,5,3,5,4,6,2,3,6,5,2,3,3,2,1,4,5,2,4,29,12,25,30,18,6,88,9,4,0,10,5,6,2,1,8,6,1,28,3,9
participant_40,3,2,3,1,4,5,4,4,3,4,5,4,1,3,6,2,4,1,2,1,3,5,11,19,16,27,14,10,7,9,5,3,10,8,8,10,5,10,3,8,61,3,1
participant_41,3,6,3,6,2,1,5,1,2,3,5,2,4,5,3,1,1,4,1,5,1,5,16,26,28,30,24,3,3,10,88,10,3,7,7,4,9,10,7,1,63,2,8
participant_42,6,3,4,4,2,6,5,6,6,3,4,1,5,1,4,1,2,1,2,6,3,1,23,12,28,30,15,6,10,0,10,4,99,6,99,8,7,0,99,3,74,88,2
participant_43,2,3,5,1,1,5,5,2,3,5,6,4,2,3,5,3,6,6,4,3,4,3,21,10,16,22,12,7,10,6,6,9,10,7,4,99,8,5,1,5,47,2,99
participant_44,4,2,5,4,4,3,4,4,5,5,3,5,2,1,3,2,4,2,4,5,1,3,10,16,29,27,26,6,3,7,6,1,1,6,4,99,2,10,3,10,34,3,8
participant_45,4,3,4,5,1,5,6,4,6,5,3,1,5,2,4,2,1,1,3,2,4,6,26,15,23,15,24,2,0,99,88,5,0,1,4,2,99,4,9,4,86,88,2
participant_46,1,2,6,5,4,3,2,2,2,6,2,6,6,4,4,1,3,4,2,5,6,5,20,25,13,23,12,1,3,88,3,6,1,2,8,6,4,10,8,6,63,3,88
participant_47,2,4,5,2,5,2,3,2,1,5,3,5,3,6,6,1,4,1,1,4,2,4,10,29,11,21,16,5,5,4,2,7,3,6,9,10,3,2,0,2,85,88,10
participant_48,1,5,3,6,2,3,4,2,3,5,2,6,6,5,3,2,6,5,5,6,5,6,14,30,22,12,11,1,0,3,9,4,0,9,0,0,5,6,9,99,98,88,10
participant_49,2,5,2,2,4,3,5,1,6,2,2,3,4,4,6,6,1,2,2,2,2,2,14,24,30,15,23,4,4,6,10,88,8,2,3,2,9,6,8,7,87,88,3
participant_50,6,6,4,2,4,4,6,4,4,3,5,1,2,5,4,2,1,3,6,2,3,5,21,24,24,26,26,1,5,8,7,3,0,8,9,99,1,99,4,1,21,2,10
participant_51,5,3,2,5,4,1,1,5,3,1,5,3,6,5,5,5,2,1,4,4,3,4,18,21,26,11,16,6,5,5,8,8,10,1,99,1,1,6,0,2,35,1,1
participant_52,2,1,2,1,2,3,5,3,3,6,5,3,4,1,6,4,1,1,1,3,5,6,10,12,21,21,15,0,1,3,9,10,3,7,5,1,5,9,3,1,93,3,5
participant_53,2,3,4,4,3,3,5,5,3,4,4,5,5,5,1,1,5,2,2,1,3,5,16,16,28,19,29,99,99,4,0,3,5,10,10,9,10,99,4,1,41,3,6
participant_54,1,4,2,3,3,4,5,3,6,5,4,4,5,3,4,6,5,2,1,1,6,1,26,12,27,13,17,6,1,7,99,6,7,5,0,2,99,9,1,0,37,3,3
participant_55,6,3,6,2,5,5,3,1,5,2,4,5,5,3,4,4,1,1,5,1,6,4,15,28,24,26,18,1,99,9,6,3,5,5,9,10,0,7,7,8,90,1,10
participant_56,4,3,3,4,1,5,4,4,6,1,4,1,5,5,3,5,4,4,6,6,3,6,24,17,19,19,29,7,88,10,2,0,9,2,4,4,99,8,7,99,77,1,7
participant_57,6,1,6,1,4,6,4,3,1,2,5,5,1,5,5,1,3,3,6,6,1,4,29,26,23,17,29,9,8,9,88,3,8,2,3,4,3,5,7,2,54,3,4
participant_58,5,2,6,5,3,6,5,4,4,3,2,4,3,6,6,6,1,6,2,5,6,1,30,23,14,25,28,6,1,3,7,7,1,1,6,10,2,99,0,3,27,1,99
participant_59,2,1,2,5,6,4,5,6,5,4,5,2,4,1,4,5,4,4,6,3,2,4,12,15,24,12,19,9,9,1,88,6,1,2,4,1,3,5,7,10,54,3,9
participant_60,6,2,3,6,2,5,6,5,3,2,2,3,5,4,4,5,4,1,5,6,3,4,14,26,10,22,28,2,10,3,6,88,1,10,10,6,4,2,6,2,46,2,2
participant_61,3,6,4,4,5,5,2,6,3,2,1,6,2,6,1,4,3,6,3,2,2,1,16,13,17,26,30,10,88,2,0,4,8,99,0,0,8,7,0,9,70,1,6
participant_62,2,1,6,1,5,5,4,1,4,4,4,6,2,6,4,1,1,6,2,3,1,2,28,11,14,30,30,5,8,8,4,4,1,4,0,1,9,5,3,3,18,3,88
participant_63,5,1,3,5,5,3,3,6,5,5,3,4,4,6,5,3,5,2,6,2,6,5,16,11,24,13,29,0,3,10,1,99,7,99,7,6,4,99,0,5,100,2,1
participant_64,3,5,3,3,5,1,3,2,4,4,5,1,2,5,1,2,5,2,1,3,3,4,18,22,15,30,25,8,7,6,6,99,8,1,6,3,1,6,10,1,80,2,10
participant_65,1,1,4,2,6,1,4,3,2,3,1,4,1,5,2,5,1,1,6,4,6,3,10,27,19,20,22,1,9,6,88,1,7,3,10,9,10,7,9,6,30,1,10
participant_66,2,2,5,1,2,4,3,2,5,6,3,6,5,2,2,6,3,1,1,3,6,3,29,15,12,24,27,7,4,4,9,1,9,4,8,3,0,0,9,1,20,2,7
participant_67,4,4,6,6,1,1,4,3,1,2,5,5,1,3,1,6,1,5,1,6,4,5,24,21,26,27,14,99,9,0,7,8,3,1,4,6,3,99,0,1,29,1,3
participant_68,4,5,6,4,3,6,2,3,1,2,3,6,2,3,1,2,5,1,6,3,3,4,19,30,13,26,25,9,7,0,3,0,99,1,5,99,3,8,5,2,40,2,1
participant_69,4,4,6,2,6,3,4,6,1,2,5,2,2,3,4,6,1,1,6,3,4,4,29,22,27,11,20,7,99,2,8,99,9,99,99,3,4,0,1,3,27,88,88
participant_70,1,4,5,2,6,3,4,1,3,6,3,6,2,1,1,3,2,4,5,3,1,3,26,26,27,24,17,8,1,1,2,88,5,0,2,2,2,6,4,10,23,2,5
participant_71,6,2,4,4,6,6,5,3,3,6,5,1,5,5,3,1,4,1,3,3,5,2,20,20,16,26,22,0,3,3,8,9,1,99,99,1,3,0,6,5,88,3,7
participant_72,5,6,3,1,5,1,4,6,2,3,2,1,4,2,5,2,2,4,2,6,5,1,13,14,23,26,11,9,3,88,2,1,4,8,0,6,0,1,99,8,26,2,2
participant_73,1,1,2,6,3,5,6,1,4,2,3,5,5,1,3,5,3,5,2,3,3,4,11,27,23,23,29,8,2,3,1,1,5,10,8,4,1,8,2,9,99,2,88
participant_74,1,2,1,2,6,5,4,6,6,1,1,5,4,3,4,6,2,5,4,6,4,6,19,10,27,22,14,2,6,4,2,0,1,99,7,9,3,2,0,1,100,88,88
participant_75,5,3,5,3,3,3,4,3,5,6,2,5,2,6,5,1,4,1,1,3,6,5,18,13,20,20,28,4,8,6,88,2,88,7,1,8,10,3,0,1,24,3,99
participant_76,4,4,1,2,1,4,5,2,4,5,3,6,4,3,5,5,6,3,6,3,4,1,11,18,25,18,22,5,6,88,99,99,5,99,1,9,2,9,4,3,45,3,9
participant_77,2,4,2,3,2,4,5,3,6,6,4,6,5,5,4,6,2,5,2,3,6,4,12,27,21,26,25,4,10,5,6,2,1,2,99,9,10,5,5,7,80,88,88
participant_78,4,4,6,3,5,6,5,2,2,3,1,6,1,4,3,6,4,4,4,3,1,3,11,19,27,26,11,99,5,9,3,5,99,2,4,10,10,4,99,2,30,2,8
participant_79,2,4,4,5,3,1,5,5,4,5,3,3,1,6,6,5,5,5,6,2,6,6,17,17,28,28,16,3,5,4,1,5,9,6,99,3,9,2,1,6,54,1,8
participant_80,1,5,2,6,5,1,3,6,1,2,1,3,1,2,4,2,2,4,1,6,5,3,26,17,22,11,28,0,1,3,1,99,2,10,7,99,5,7,5,2,40,1,7
participant_81,2,3,6,6,4,3,6,4,3,5,5,1,6,5,1,4,4,2,4,6,5,1,14,13,26,17,25,99,99,1,3,99,6,7,0,3,7,3,9,4,97,88,3
participant_82,2,3,3,2,3,3,6,2,5,1,5,3,2,2,5,2,6,6,1,1,5,5,14,13,25,13,21,0,4,8,4,6,10,2,3,0,2,7,9,2,36,88,4
participant_83,6,2,4,2,2,2,1,6,2,3,1,1,4,6,2,2,3,6,1,1,5,2,28,10,28,12,15,10,10,9,1,6,6,5,4,8,2,2,6,2,92,3,8
participant_84,4,5,2,1,6,5,4,6,3,3,2,1,2,3,4,4,2,5,5,5,6,1,14,17,26,22,19,7,6,9,9,10,88,10,2,3,8,6,5,9,68,3,88
participant_85,5,5,6,4,2,1,3,1,5,4,5,4,6,3,4,4,2,1,2,3,4,6,10,30,14,22,24,4,6,10,0,3,9,10,0,0,1,99,4,8,47,88,99
participant_86,3,3,1,6,5,1,4,1,5,1,1,4,4,6,3,3,1,5,1,2,2,1,14,24,15,22,18,6,9,88,0,3,88,4,2,5,99,5,5,2,53,88,99
participant_87,4,5,2,1,1,1,6,5,1,6,2,1,4,3,5,5,2,1,2,3,6,4,18,17,13,25,29,4,7,10,8,6,3,6,1,6,99,7,3,5,23,1,7
participant_88,6,1,2,4,3,2,3,1,2,4,3,5,4,4,5,5,6,6,6,4,3,3,22,28,13,30,25,6,5,2,1,88,4,1,0,5,1,8,9,10,31,3,1
participant_89,5,5,6,2,3,2,2,4,3,3,2,2,4,3,5,6,2,5,6,5,1,5,20,22,16,23,22,88,0,2,1,4,6,10,5,1,3,0,8,99,45,1,4
participant_90,5,4,4,2,3,2,5,1,2,2,3,1,2,3,3,6,6,2,3,5,3,3,20,29,27,23,19,8,3,9,8,6,2,5,9,5,99,4,2,9,54,1,9
participant_91,6,1,6,6,2,5,4,2,4,6,6,1,1,6,2,1,3,3,1,6,5,4,24,21,26,22,27,1,1,5,99,9,5,0,6,99,9,8,7,5,43,2,99
participant_92,2,4,3,6,2,6,4,3,5,5,5,5,3,1,4,2,5,4,2,4,1,4,21,30,19,14,16,3,2,5,10,0,4,7,1,6,8,7,10,2,88,88,9
participant_93,1,4,6,1,2,5,6,5,6,1,4,2,1,4,3,3,6,3,5,4,4,4,17,24,12,29,14,6,6,1,1,9,8,3,8,3,2,9,3,6,79,3,7
participant_94,4,3,3,2,6,1,6,2,3,6,1,1,1,2,1,3,5,3,3,3,2,3,25,27,11,13,27,88,3,3,7,3,2,5,6,0,5,6,2,99,39,2,5
participant_95,6,2,2,4,6,1,5,6,6,6,6,2,1,4,6,5,3,6,3,3,3,1,26,26,16,19,15,3,88,5,0,5,8,2,7,0,7,99,7,10,26,3,7
participant_96,5,2,4,4,1,1,3,1,1,6,5,1,3,2,3,6,3,4,1,6,1,5,15,15,24,17,15,0,99,10,99,2,3,3,0,8,99,4,2,10,56,2,99
participant_97,5,4,2,5,4,1,3,2,4,6,5,6,1,3,5,1,4,1,2,5,6,3,10,23,14,29,22,99,9,10,7,10,7,10,3,8,9,10,0,3,79,88,8
participant_98,5,3,1,3,1,3,5,2,1,1,2,6,2,4,2,6,5,1,4,5,1,3,13,26,20,30,25,5,7,8,1,0,3,8,7,9,8,0,99,2,20,88,2
participant_99,6,3,2,4,3,5,2,2,3,4,5,2,6,1,5,2,4,6,4,6,6,1,15,18,27,10,14,10,9,6,9,6,5,6,6,7,99,0,5,9,86,2,6
